sub,trial,certain_reward,risky_gain,risky_loss,choice,choice_rt,outcome,happiness_raw,happiness_z,spinner_rt,spinner_rad,spinner_deg,happiness_fill_raw,happiness_fill_z,total_score
6,16,-35,0,-66,1,3.701,0,NA,NA,4.382,3.563,204.144862405112,31,-1.9323172129452497,-319
6,17,30,65,0,0,2.566,30,50,0.4883878670081404,NA,NA,NA,50,0.4883878670081404,-289
6,18,-45,0,-85,1,3.734,-85,NA,NA,4.383,0.044,2.52101429857562,50,0.4883878670081404,-374
6,19,55,220,0,1,5.218,0,NA,NA,4.382,1.552,88.9230498043038,50,0.4883878670081404,-374
6,20,-35,0,-68,1,5.768,0,50,0.4883878670081404,4.382,4.694,268.946389034408,50,0.4883878670081404,-374
6,21,0,55,-11,1,6.885,55,NA,NA,4.381,4.102,235.027287562664,50,0.4883878670081404,-319
6,22,-45,0,-74,1,5.8,0,53,0.8706044585797283,4.383,3.689,211.364130623761,53,0.8706044585797283,-319
6,23,30,58,0,0,3.168,30,NA,NA,NA,NA,NA,53,0.8706044585797283,-289
6,24,0,75,-38,0,3.434,0,NA,NA,NA,NA,NA,53,0.8706044585797283,-289
6,25,-55,0,-149,0,6.018,-55,50,0.4883878670081404,NA,NA,NA,50,0.4883878670081404,-344
6,26,45,108,0,0,3.283,45,NA,NA,NA,NA,NA,50,0.4883878670081404,-299
6,27,0,40,-40,1,3.75,-40,NA,NA,4.383,2.809,160.943844652248,50,0.4883878670081404,-339
6,28,-45,0,-85,1,4.55,-85,34,-1.550100621373662,4.384,2.809,160.943844652248,34,-1.550100621373662,-424
6,29,55,149,0,1,3.665,0,NA,NA,4.382,0.333,19.0794945778564,34,-1.550100621373662,-424
6,30,0,55,-42,0,2.399,0,50,0.4883878670081404,NA,NA,NA,50,0.4883878670081404,-424
7,1,35,95,0,1,4.85,0,76,0.2179559553315563,4.385,1.715,98.2622618649362,76,0.2179559553315563,0
7,2,-45,0,-85,1,1.984,0,NA,NA,4.383,5.987,343.029831944824,76,0.2179559553315563,0
7,3,0,40,-54,1,1.685,-54,75,-0.07265198511051876,4.383,2.469,141.4632796178,75,-0.07265198511051876,-54
7,4,0,40,-8,1,2.867,-8,NA,NA,4.383,2.469,141.4632796178,75,-0.07265198511051876,-62
7,5,-30,0,-60,1,1.684,-60,NA,NA,4.382,1.589,91.0429936462878,75,-0.07265198511051876,-122
7,6,0,75,-48,1,2.518,75,78,0.7991718362157064,4.383,4.605,263.847064657744,78,0.7991718362157064,-47
7,7,-45,0,-122,0,5.652,-45,NA,NA,NA,NA,NA,78,0.7991718362157064,-92
7,8,-35,0,-66,0,4.083,-35,NA,NA,NA,NA,NA,78,0.7991718362157064,-127
7,9,-30,0,-53,1,3.418,-53,70,-1.5256916873208939,4.383,1.212,69.4424847698558,70,-1.5256916873208939,-180
7,10,35,57,0,1,3.768,57,NA,NA,4.383,5.233,299.82881419196,70,-1.5256916873208939,-123
7,11,-30,0,-81,0,5.516,-30,75,-0.07265198511051876,NA,NA,NA,75,-0.07265198511051876,-153
7,12,-45,0,-82,0,4.7,-45,NA,NA,NA,NA,NA,75,-0.07265198511051876,-198
7,13,55,120,0,1,2.184,0,NA,NA,4.382,2.72,155.844520275584,75,-0.07265198511051876,-198
7,14,35,79,0,1,2.401,79,73,-0.6538678659946688,4.383,5.485,314.267350629257,73,-0.6538678659946688,-119
7,15,35,79,0,1,4.051,79,NA,NA,4.384,3.474,199.045538028448,73,-0.6538678659946688,-40
7,16,0,75,-150,1,6.151,75,NA,NA,4.382,5.108,292.666841752824,73,-0.6538678659946688,35
7,17,0,75,-83,1,3.301,-83,71,-1.235083746878819,4.382,0.081,4.64095814055967,71,-1.235083746878819,-48
7,18,30,72,0,1,2.749,72,NA,NA,4.385,4.605,263.847064657744,71,-1.235083746878819,24
7,19,-30,0,-58,1,5.401,-58,NA,NA,4.383,2.092,119.862770741368,71,-1.235083746878819,-34
7,20,45,95,0,1,2.702,0,73,-0.6538678659946688,4.382,1.338,76.6617529885041,73,-0.6538678659946688,-34
7,21,-30,0,-60,1,2.917,0,NA,NA,4.383,5.862,335.867859505689,73,-0.6538678659946688,-34
7,22,0,75,-101,1,4.318,75,75,-0.07265198511051876,4.382,4.228,242.246555781312,75,-0.07265198511051876,41
7,23,-45,0,-85,1,4.986,-85,NA,NA,4.381,2.72,155.844520275584,75,-0.07265198511051876,-44
7,24,55,110,0,1,2.318,110,NA,NA,4.385,3.474,199.045538028448,75,-0.07265198511051876,66
7,25,-30,0,-120,1,3.084,0,83,2.2522115384260815,4.383,5.233,299.82881419196,83,2.2522115384260815,66
7,26,0,75,-75,1,4.215,-75,NA,NA,4.385,0.207,11.860226359208,83,2.2522115384260815,-9
7,27,30,65,0,1,3.751,65,NA,NA,4.382,4.228,242.246555781312,83,2.2522115384260815,56
7,28,0,55,-110,0,4.481,0,77,0.5085638957736314,NA,NA,NA,77,0.5085638957736314,56
7,29,30,81,0,1,4.021,0,NA,NA,4.378,1.464,83.8810212071525,77,0.5085638957736314,56
7,30,45,122,0,1,4.067,0,77,0.5085638957736314,4.383,1.966,112.64350252272,77,0.5085638957736314,56
8,1,0,75,-83,0,3.849,0,54,0.9654391897637321,NA,NA,NA,54,0.9654391897637321,0
8,2,-35,0,-70,0,5.717,-35,NA,NA,NA,NA,NA,54,0.9654391897637321,-35
8,3,-55,0,-149,0,4.217,-55,44,-1.6675767823191754,NA,NA,NA,44,-1.6675767823191754,-90
8,4,30,64,0,0,2.901,30,NA,NA,NA,NA,NA,44,-1.6675767823191754,-60
8,5,-45,0,-102,0,2.916,-45,NA,NA,NA,NA,NA,44,-1.6675767823191754,-105
8,6,30,81,0,0,4.966,30,56,1.4920423841803137,NA,NA,NA,56,1.4920423841803137,-75
8,7,-45,0,-108,0,1.699,-45,NA,NA,NA,NA,NA,56,1.4920423841803137,-120
8,8,0,75,-150,0,2.667,0,NA,NA,NA,NA,NA,56,1.4920423841803137,-120
8,9,0,40,-44,1,9.534,-44,50,-0.08776719906943087,4.382,2.092,119.862770741368,50,-0.08776719906943087,-164
8,10,35,60,0,0,2.183,35,NA,NA,NA,NA,NA,50,-0.08776719906943087,-129
8,11,35,64,0,0,3.366,35,50,-0.08776719906943087,NA,NA,NA,50,-0.08776719906943087,-94
8,12,0,40,-44,1,8.034,40,NA,NA,4.382,4.856,278.228305315528,50,-0.08776719906943087,-54
8,13,45,82,0,0,1.85,45,NA,NA,NA,NA,NA,50,-0.08776719906943087,-9
8,14,-55,0,-117,0,2.484,-55,50,-0.08776719906943087,NA,NA,NA,50,-0.08776719906943087,-64
8,15,55,117,0,0,5.401,55,NA,NA,NA,NA,NA,50,-0.08776719906943087,-9
8,16,-30,0,-120,0,1.701,-30,NA,NA,NA,NA,NA,50,-0.08776719906943087,-39
8,17,0,55,-35,1,3.767,-35,50,-0.08776719906943087,4.383,2.218,127.082038960017,50,-0.08776719906943087,-74
8,18,0,75,-58,0,4.281,0,NA,NA,NA,NA,NA,50,-0.08776719906943087,-74
